global_step,wall_time_s,ep_return_mean,ep_return_std,policy_loss,value_loss,entropy,approx_kl,eval_return_mean,eval_return_std,mean_k,attn_entropy,lagrange_lambda
4000,3.6054887771606445,-232.60363221168518,48.058531038029116,-0.0005439267662730174,190.1862777709961,1.5996142983436585,0.00038082678670374736,,,1.0,0.0,
8000,6.590387582778931,-211.34255504608154,38.797894899085385,-0.0008996330454479562,160.2120559692383,1.5990311264991761,0.00030841598127153704,,,1.0,0.0,
12000,9.555861234664917,-222.75519347190857,39.29023442892659,-0.0004304088208252566,166.78555450439453,1.5832433700561523,9.885408352723335e-05,,,1.0,0.0,
16000,12.518483877182007,-214.60189080238342,43.99259119412779,-0.0006568973263686217,103.6936149597168,1.584877598285675,0.0,,,1.0,0.0,
20000,15.457453966140747,-210.9936113357544,35.132437815429746,-0.0006233324441080156,67.88341941833497,1.5852352142333985,0.0,,,1.0,0.0,
24000,18.36179542541504,-222.31137204170227,49.25841997724744,-0.0014762347074380954,81.78872680664062,1.5778950095176696,0.0019065957225393505,,,1.0,0.0,
28000,21.31018614768982,-213.81010603904724,36.419904920129596,-0.0008971369376522542,81.27374038696288,1.5605002164840698,0.0007949505525175482,,,1.0,0.0,
32000,24.206374645233154,-218.13317584991455,38.675951791202415,-0.00023740673591241546,78.25090408325195,1.54617178440094,8.092919088085183e-05,,,1.0,0.0,
36000,27.101932525634766,-216.94389128684998,37.234251341473886,-0.0003617222384297403,87.70577087402344,1.538476300239563,0.000410866583105729,,,1.0,0.0,
40000,30.01508116722107,-216.57963728904724,36.60696960590089,-0.0016182875864323876,61.551638793945315,1.5310585260391236,0.0012814088473533046,,,1.0,0.0,
44000,34.73101592063904,-224.53698015213013,37.31230433886982,-0.0012647403373264865,47.03551750183105,1.4994539499282837,0.0002983809528814163,-315.63422314822674,83.15652274442162,1.0,0.0,
48000,37.645506381988525,-248.88610291481018,62.17863406390512,-0.0006660728981563224,70.79919662475587,1.4437295556068421,0.0005215342607698403,-315.63422314822674,83.15652274442162,1.0,0.0,
52000,40.57955455780029,-246.6886510848999,53.63065989102916,-0.0009825402447604548,73.50724411010742,1.466174566745758,0.00024712679876635614,-315.63422314822674,83.15652274442162,1.0,0.0,
56000,43.50930452346802,-223.84847736358643,40.34850442429409,-0.00016552116905224067,73.89955787658691,1.5075120329856873,4.186194855719805e-05,-315.63422314822674,83.15652274442162,1.0,0.0,
60000,46.458308696746826,-220.62830138206482,39.01614641424416,-0.0006959301895403947,79.67206573486328,1.5252220511436463,0.0006012350759629026,-315.63422314822674,83.15652274442162,1.0,0.0,
64000,49.37993907928467,-222.9543867111206,39.85666990307738,-0.001180561275648273,54.92459564208984,1.4592586755752563,0.002487368660513312,-315.63422314822674,83.15652274442162,1.0,0.0,
68000,52.41988492012024,-236.56532454490662,59.18574484987464,-0.0010809732187893495,58.79889755249023,1.4912415385246276,0.0014727384055731817,-315.63422314822674,83.15652274442162,1.0,0.0,
72000,55.459630250930786,-232.3886342048645,40.695670449254344,-0.0012040397592839591,64.4016887664795,1.4627524137496948,0.0004387881046568509,-315.63422314822674,83.15652274442162,1.0,0.0,
76000,58.42928433418274,-225.98311281204224,42.24292920094724,-0.0007620336034724673,62.753489303588864,1.4430598020553589,0.0007762905569882906,-315.63422314822674,83.15652274442162,1.0,0.0,
80000,61.51381731033325,-226.11113166809082,40.484496213178716,3.865678883938628e-05,65.63177070617675,1.4044827938079834,0.002037924559408566,-315.63422314822674,83.15652274442162,1.0,0.0,
84000,66.64258074760437,-216.5748326778412,41.290523047670156,-0.0017170662554175208,69.15906448364258,1.4060009002685547,0.001751845936087193,-285.06290382146835,71.0962503236941,1.0,0.0,
88000,69.6785900592804,-217.70630860328674,43.77838193390467,-0.0003128920867359497,66.8061595916748,1.3939143657684325,0.0020119438398978674,-285.06290382146835,71.0962503236941,1.0,0.0,
92000,72.72641181945801,-225.26597714424133,42.146478753608406,-0.001061978953684406,54.652439498901366,1.4080007910728454,0.0009273412288166583,-285.06290382146835,71.0962503236941,1.0,0.0,
96000,75.86412119865417,-231.28557133674622,45.310089506183104,-0.002367396391190901,55.452921295166014,1.4411688089370727,0.00307950435831057,-285.06290382146835,71.0962503236941,1.0,0.0,
100000,78.94077754020691,-223.58314037322998,45.68661169948464,-0.0013553659076472435,45.72370910644531,1.4051315307617187,0.0009877093031924965,-285.06290382146835,71.0962503236941,1.0,0.0,
