global_step,wall_time_s,ep_return_mean,ep_return_std,policy_loss,value_loss,entropy,approx_kl,eval_return_mean,eval_return_std
4000,8.879099369049072,-78.28621304035187,20.64660578479499,-0.0006739920081599848,84.75806121826172,1.594479763507843,0.0006855805069790222,,
8000,18.312445640563965,-75.8774584531784,22.3664804350362,-0.0022591014101635666,80.5484130859375,1.5830050110816956,0.0015491478523472324,,
12000,27.23899483680725,-71.04480767250061,21.18768084341079,-0.001966400371020427,48.4186408996582,1.5570741415023803,0.0015823043999262155,,
16000,33.50441551208496,-76.4184707403183,24.945353319413986,-0.0018880543677369133,52.950657272338866,1.5447853803634644,0.003621938155265525,,
20000,41.312132596969604,-77.59612196683884,18.42689204422365,-0.0021571404688529583,36.56969089508057,1.547438144683838,0.0009476739374804311,,
24000,48.996774673461914,-82.06765085458755,19.86545089366848,-0.0014319353096652776,35.547014236450195,1.528960406780243,0.0014072885518544354,,
28000,54.58671522140503,-74.62579452991486,22.821227148584338,-0.0016664864611811935,36.46392822265625,1.5401114463806151,0.00228707263013348,,
32000,62.630358934402466,-72.31119126081467,23.858464973396387,-0.0007086403129505925,34.110995292663574,1.4886094450950622,0.0017224039824213833,,
36000,72.07557249069214,-74.3313530087471,20.092456733997565,-0.003368063761445228,41.08431739807129,1.5091466903686523,0.0022755905403755603,,
40000,79.37910771369934,-65.16335958242416,17.352832152301488,-0.003196699584077578,27.035614013671875,1.4837195515632629,0.002881282661110163,,
44000,102.67022609710693,-76.84019005298615,19.064425025677572,-0.0011353384688845836,30.56999740600586,1.4308168292045593,0.0017382351506967098,-72.12873250246048,19.828034214825752
48000,109.85760164260864,-80.46211951971054,22.087018542903486,-0.0012748677014315034,31.250467109680176,1.3765010833740234,0.0034844369394704698,-72.12873250246048,19.828034214825752
52000,116.45447778701782,-72.85285168886185,20.196730884638345,-0.0021717464431276314,22.45645351409912,1.3953678846359252,0.005548664182424545,-72.12873250246048,19.828034214825752
56000,124.44817304611206,-75.58045816421509,21.70559690283553,-0.0032443931326270104,28.839912033081056,1.4415202021598816,0.0016773553768871352,-72.12873250246048,19.828034214825752
60000,130.82139039039612,-73.4923847913742,16.622197956732045,-0.0036363922990858555,28.23657512664795,1.4254037499427796,0.0020771827606949956,-72.12873250246048,19.828034214825752
64000,137.73257446289062,-74.96542799472809,19.614263414564196,-0.0010369092178734718,26.007427978515626,1.369132399559021,0.0033697418519295754,-72.12873250246048,19.828034214825752
68000,145.29459285736084,-76.23922085762024,19.904233605643526,-0.0024813349125906827,24.166299247741698,1.347470259666443,0.004596860660240054,-72.12873250246048,19.828034214825752
72000,151.47843623161316,-69.39904481172562,15.989398220805986,-0.0030184967094101013,13.09886817932129,1.3605313897132874,0.001999064872507006,-72.12873250246048,19.828034214825752
76000,159.17278051376343,-72.83347600698471,18.987852765987064,-0.004459056757332292,16.028472709655762,1.3298188686370849,0.003930567274801433,-72.12873250246048,19.828034214825752
