global_step,wall_time_s,ep_return_mean,ep_return_std,policy_loss,value_loss,entropy,approx_kl,eval_return_mean,eval_return_std
4000,12.343327522277832,-233.94317388534546,49.311278169245625,-0.0007413587787596043,226.12974700927734,1.597925889492035,0.0001323270505963592,,
8000,21.300393104553223,-219.26245188713074,38.57932864182609,-0.0006660719900537515,179.04881286621094,1.59471914768219,1.8883594384533355e-05,,
12000,35.48004627227783,-224.84224677085876,38.56430301404386,-0.0010836842273420188,177.79468688964843,1.591253936290741,9.458923668717034e-05,,
16000,44.33721160888672,-223.24881863594055,40.70934729629414,-0.0011053179292503045,122.5401481628418,1.5819476127624512,0.0003255198200349696,,
20000,55.18039345741272,-207.7348554134369,40.38110130772729,-0.0007500083665945567,90.92181167602538,1.5677600502967834,0.00015485020339838228,,
24000,68.26403260231018,-219.82236790657043,44.389701785502105,-0.0006271214602747932,75.24939346313477,1.5663519978523255,0.0005504251523234416,,
28000,78.25877666473389,-218.49883365631104,32.74791397804013,-0.00047338424819827197,77.01725158691406,1.5329683423042297,0.000937769332085736,,
32000,92.19304728507996,-217.80432558059692,32.740105270153315,-0.00110890589421615,64.87552413940429,1.5058660745620727,0.0009431634593056515,,
36000,100.61734986305237,-227.36103439331055,33.089311455739086,-0.0006103867170168086,76.11192474365234,1.5101075649261475,0.0015490054036490619,,
40000,114.88449430465698,-220.70861744880676,34.58357067520081,-0.0025928870047209783,61.20813674926758,1.5055896639823914,0.0011009637688403017,,
44000,133.22305011749268,-237.62400770187378,42.066537735702994,-0.0012188775173854083,50.03318214416504,1.5349230885505676,0.0014522796860546804,-337.92253306508064,68.38273902954364
48000,143.82812595367432,-230.25615739822388,45.985293210353845,-0.0022578283242182806,61.81330337524414,1.534959602355957,0.002202763530658558,-337.92253306508064,68.38273902954364
52000,156.68155169487,-238.39395141601562,45.58857902880084,0.0003004815196618438,74.85147361755371,1.5317245721817017,0.0007754120790195885,-337.92253306508064,68.38273902954364
56000,166.9058530330658,-255.03330063819885,58.365159579888875,-7.495340178138576e-05,73.4927921295166,1.516963005065918,0.0010572392275207676,-337.92253306508064,68.38273902954364
60000,177.22507119178772,-246.53002214431763,50.15714457073097,-0.0010175525065278634,48.944139099121095,1.5291652083396912,0.00388871468603611,-337.92253306508064,68.38273902954364
64000,185.7331681251526,-227.2062692642212,44.567619426041894,-0.0008053602563450113,63.058733749389646,1.5137184858322144,0.0022857845295220615,-337.92253306508064,68.38273902954364
68000,197.23698139190674,-231.87066769599915,44.270790169495385,-0.00072733561428322,50.146239852905275,1.519079339504242,0.003285663668066263,-337.92253306508064,68.38273902954364
72000,207.3569619655609,-233.79475498199463,50.04719513284204,-0.0006706400366965681,66.18945541381837,1.5074972987174988,0.001509991305647418,-337.92253306508064,68.38273902954364
76000,220.8450276851654,-231.7286102771759,45.421783658017446,-0.0015586840847390704,45.282033157348636,1.456447923183441,0.00183559664292261,-337.92253306508064,68.38273902954364
80000,238.88947916030884,-245.6004717350006,48.50411604233276,-0.0011351135384757073,48.01732139587402,1.4553648710250855,0.003656622185371816,-337.92253306508064,68.38273902954364
84000,266.9632992744446,-228.5451467037201,37.000390272911076,-0.0007688395362492884,47.01007194519043,1.4478845119476318,0.00278292594011873,-273.1128810197115,54.13794484529024
88000,286.6618740558624,-230.13744711875916,40.13301585000728,-0.0022644844924798236,45.73446044921875,1.4568096160888673,0.00260339283850044,-273.1128810197115,54.13794484529024
92000,300.9043414592743,-229.60399413108826,58.41830217126847,-0.0016498946148203685,56.30710296630859,1.4753326296806335,0.0027249609353020786,-273.1128810197115,54.13794484529024
