global_step,wall_time_s,ep_return_mean,ep_return_std,policy_loss,value_loss,entropy,approx_kl,eval_return_mean,eval_return_std,mean_k,attn_entropy,lagrange_lambda
4000,3.5296456813812256,-232.04631447792053,51.103232943671884,-0.0006421818430155212,227.2469223022461,1.5977987766265869,3.0901378423248135e-05,,,,1.5732426524162293,
8000,6.47122597694397,-226.69351625442505,45.79832866363151,-0.0004828177308411341,198.06727905273436,1.5896507978439331,0.00011303366127322079,,,,1.5733740091323853,
12000,9.273839712142944,-224.0484654903412,42.74555927550337,-0.0006602236918986648,161.11939544677733,1.5694769501686097,5.603958893820593e-05,,,,1.5758986115455627,
16000,12.252928972244263,-228.09231114387512,36.08098692671901,-0.0005975680194290512,138.13094024658204,1.5702945113182067,4.02683779157087e-05,,,,1.5761539459228515,
20000,15.250935316085815,-217.19460654258728,38.716470878985476,-0.0013369150470825986,74.16202011108399,1.5705836534500122,0.000379840754273264,,,,1.583165955543518,
24000,18.241212368011475,-207.00937366485596,34.349354074122154,-0.0017923392362232838,70.31685600280761,1.5565480828285216,0.0008815236939165832,,,,1.5908151507377624,
28000,21.275060415267944,-223.06335270404816,44.07811957053223,-0.0009386004339952513,67.78744583129883,1.5306475043296814,0.0008226972551201473,,,,1.5859479904174805,
32000,24.298691511154175,-226.18530702590942,39.52995003909522,-0.00026867044382630214,88.35736465454102,1.5330365419387817,0.0005762350476288703,,,,1.5818965673446654,
36000,27.260213613510132,-219.39605116844177,44.09765243847517,-0.00048209312597946585,63.02743034362793,1.5176382184028625,0.0007319530923268758,,,,1.5658412218093871,
40000,30.25100564956665,-218.35504460334778,35.55374884445534,-0.0006972294501477628,59.15254516601563,1.512519073486328,0.0001517098043380738,,,,1.5722700119018556,
44000,34.6849467754364,-225.61193990707397,30.928175746747883,-0.0008564373617545584,52.650438690185545,1.4812917709350586,0.00043977807708870385,-281.96714551746845,64.95244667179718,,1.5732410192489623,
48000,37.66206645965576,-235.23748779296875,42.70108914503665,-0.0007316723269807923,49.722107315063475,1.4637597322463989,0.0009720506786834449,-281.96714551746845,64.95244667179718,,1.5711323261260985,
52000,40.658146381378174,-226.38513779640198,39.771133588383904,-0.001015937465922123,36.79373149871826,1.421793484687805,0.0005243851213890593,-281.96714551746845,64.95244667179718,,1.5729649662971497,
56000,43.560014724731445,-232.31151795387268,33.277965064557975,-0.00041908714104587074,35.036393356323245,1.3893624663352966,3.054738018093417e-10,-281.96714551746845,64.95244667179718,,1.5570697069168091,
60000,46.38433074951172,-236.12594032287598,50.52973611631252,-0.0011541767214657828,45.5201114654541,1.3959420442581176,0.0005107591332489392,-281.96714551746845,64.95244667179718,,1.5628648400306702,
64000,49.224077224731445,-247.84685707092285,50.24429360312381,-0.0015496319825955007,39.66267910003662,1.3394260287284852,0.0003338719861349093,-281.96714551746845,64.95244667179718,,1.5208194255828857,
68000,52.091859102249146,-247.34722661972046,54.80473758779012,-0.0011485869280054573,33.872593307495116,1.3380589842796327,0.0004803376102160362,-281.96714551746845,64.95244667179718,,1.5685847759246827,
72000,55.00366187095642,-236.94774842262268,41.45196066052803,-0.0014139598310187295,35.30595169067383,1.3537595987319946,0.0006907310540555045,-281.96714551746845,64.95244667179718,,1.579002571105957,
76000,58.00738048553467,-244.80137300491333,46.87061210139021,-0.0023960321376992775,34.53646450042724,1.2998555183410645,0.0014829105079115835,-281.96714551746845,64.95244667179718,,1.5747662425041198,
80000,61.02473282814026,-232.00736951828003,39.53657737592762,-0.0013178056063382292,33.876827239990234,1.3156696438789368,0.001621855780831538,-281.96714551746845,64.95244667179718,,1.5718676924705506,
84000,65.28213238716125,-229.9136381149292,43.31493702742834,-0.0011623858437719292,31.403387832641602,1.2963326930999757,0.0038950468498903045,-265.43509800732136,38.59234497642687,,1.547431969642639,
88000,68.24370861053467,-228.82463574409485,35.50995081149875,-0.0016287513425147005,28.134687995910646,1.2727612376213073,0.0016796748561318964,-265.43509800732136,38.59234497642687,,1.5285266280174254,
92000,71.22006964683533,-229.3342890739441,38.058561386658106,-0.001682956477384634,37.05283470153809,1.2402177453041077,0.0018692951305323128,-265.43509800732136,38.59234497642687,,1.4749510049819947,
96000,74.19414973258972,-218.75732159614563,32.52666463495448,-0.0028161832208279947,19.72812662124634,1.2819921731948853,0.004802134667988867,-265.43509800732136,38.59234497642687,,1.4734501242637634,
100000,77.16280961036682,-228.21080946922302,43.13826728118634,3.526310568613411e-06,38.35323829650879,1.269225287437439,0.003291460720356554,-265.43509800732136,38.59234497642687,,1.4746089696884155,
104000,80.06750226020813,-227.79232478141785,38.9765833293576,-0.0013784814950001168,24.77030086517334,1.2720617413520814,0.0024466174448607493,-265.43509800732136,38.59234497642687,,1.4844525575637817,
108000,83.0800678730011,-228.6163399219513,32.79868136186226,-0.003259922984056196,24.753792572021485,1.2648089528083801,0.003682654461590573,-265.43509800732136,38.59234497642687,,1.4680761814117431,
112000,86.06960225105286,-222.80881333351135,39.47013748700037,-0.0031175120261226043,25.636813354492187,1.2724222540855408,0.0031052839229232633,-265.43509800732136,38.59234497642687,,1.4738741874694825,
116000,89.07324504852295,-210.96626830101013,37.60427545369152,-0.004635485285427432,18.01032781600952,1.2652795553207397,0.0028506595094416774,-265.43509800732136,38.59234497642687,,1.436897087097168,
120000,92.09069228172302,-219.86377596855164,41.723999911115484,-0.004486201801492523,22.186167907714843,1.246153998374939,0.0028551672353739122,-265.43509800732136,38.59234497642687,,1.403682255744934,
124000,96.44734334945679,-224.40158367156982,45.409593585888295,-0.0033357462751446576,27.666174697875977,1.2531139254570007,0.0019021295724087396,-227.399523884058,50.530738748631414,,1.451301097869873,
128000,99.43335485458374,-221.82619714736938,38.59738380467988,-0.005189835281188909,23.477529525756836,1.256013560295105,0.0020516335812474917,-227.399523884058,50.530738748631414,,1.493732178211212,
132000,102.41548228263855,-227.10533237457275,46.536505134115735,-0.0052370121837594045,20.073985004425047,1.244278621673584,0.0045273765979800375,-227.399523884058,50.530738748631414,,1.4779120087623596,
136000,105.42204308509827,-230.38977766036987,45.670052695460996,-0.005071520220565962,21.501062870025635,1.2329667568206788,0.0027508375386241955,-227.399523884058,50.530738748631414,,1.479377770423889,
