global_step,wall_time_s,ep_return_mean,ep_return_std,policy_loss,value_loss,entropy,approx_kl,eval_return_mean,eval_return_std,mean_k,attn_entropy,lagrange_lambda
4000,3.585453748703003,-221.12798047065735,39.0971764029875,-0.0015697716939030216,183.81780700683595,1.5938376188278198,0.0001700972323305905,,,2.0,,
8000,6.463996887207031,-222.51670622825623,45.837068747413994,-0.0003333924694743473,185.35806579589843,1.5836972713470459,2.000387557927752e-05,,,2.0,,
12000,9.510345935821533,-213.97500157356262,39.20302638779394,-0.0006147209845948964,153.20563049316405,1.5620725512504579,0.0009928307719746954,,,2.0,,
16000,12.494378566741943,-214.5671408176422,33.31810048631346,-0.001112252283928683,117.68563919067383,1.5497950077056886,0.0001236588243045844,,,2.0,,
20000,15.463938236236572,-211.98502779006958,36.322970419831144,-0.0006697418065641613,82.15466766357422,1.5398727536201477,0.0002593384000647347,,,2.0,,
24000,18.31809902191162,-217.73888492584229,39.82794216975997,-0.0008421908059972338,88.00625686645508,1.539165163040161,0.0015122220414923505,,,2.0,,
28000,21.079102754592896,-233.4950578212738,37.95417861506895,-0.0007620146512635984,83.3091926574707,1.5611845016479493,0.0015493748127482832,,,2.0,,
32000,23.944762229919434,-237.2459545135498,51.03044610616699,-0.00035654023683946435,86.48667068481446,1.5611024975776673,0.0006764587349607609,,,2.0,,
36000,26.873905658721924,-237.92794966697693,52.06505244007088,0.00010861571354325861,74.36954727172852,1.5633785009384156,0.0014051693200599403,,,2.0,,
40000,29.83733582496643,-226.173730134964,37.54757381384503,-0.0011496753344545142,63.4963996887207,1.5554500699043274,0.0015935676579829305,,,2.0,,
44000,34.02429246902466,-238.92141723632812,44.438073388334374,-0.0005338792514521628,69.79190139770508,1.5355741024017333,0.0004896222002571448,-329.54299990832806,88.02993659369191,2.0,,
48000,36.93512320518494,-235.22640419006348,47.09611095075454,-0.0007076036286889576,59.05938987731933,1.5368270993232727,0.0017980984586756677,-329.54299990832806,88.02993659369191,2.0,,
52000,39.88231539726257,-215.61965036392212,44.87532677992154,-0.0010097527951984375,53.97305908203125,1.5580978989601135,0.000389208991691703,-329.54299990832806,88.02993659369191,2.0,,
56000,42.81063532829285,-235.43172550201416,54.21551627376462,-0.0006102513933001319,64.3090160369873,1.5392029523849486,0.0011600501602515578,-329.54299990832806,88.02993659369191,2.0,,
60000,45.58849000930786,-238.7870078086853,57.581152492570574,-0.0009230986790498719,72.62315788269044,1.559061598777771,0.0011135227861814201,-329.54299990832806,88.02993659369191,2.0,,
64000,48.37016034126282,-221.47437739372253,49.46639021238747,-0.0005789781615021638,78.87499694824218,1.5337881207466126,0.0006406570548733725,-329.54299990832806,88.02993659369191,2.0,,
68000,51.26200342178345,-221.8883295059204,45.70470789852617,-0.0017192710904055275,44.72154998779297,1.519698703289032,0.0013250822492409497,-329.54299990832806,88.02993659369191,2.0,,
72000,54.06111717224121,-232.39549255371094,48.743396724897025,-0.0008437406420853221,58.81001663208008,1.4680224418640138,0.0009219408573699183,-329.54299990832806,88.02993659369191,2.0,,
76000,56.839505195617676,-219.01278614997864,41.05375340914156,-0.001297411917403224,39.92961254119873,1.5266440272331239,0.0007183939800597727,-329.54299990832806,88.02993659369191,2.0,,
80000,59.61741900444031,-218.94650721549988,37.256953506890504,-0.0007918275805423036,40.314632415771484,1.507035481929779,0.0013114317654981278,-329.54299990832806,88.02993659369191,2.0,,
84000,63.877214431762695,-229.25476026535034,51.21410689044033,-0.0012327797835723687,48.07484512329101,1.4772035598754882,0.0015752919163787738,-310.9460840150714,84.25934008027195,2.0,,
88000,66.62375569343567,-238.09653639793396,49.37878715438568,-0.0017254833481274545,52.48747673034668,1.4829895496368408,0.0017385123122949154,-310.9460840150714,84.25934008027195,2.0,,
92000,69.3579261302948,-253.85458302497864,66.97198180507924,-0.0007387168028799351,46.42239646911621,1.4478209018707275,0.0009281700513383839,-310.9460840150714,84.25934008027195,2.0,,
96000,72.0749740600586,-225.86094498634338,51.082975670987516,-0.000968542683403939,53.38053855895996,1.4757683157920838,0.0014011265739100054,-310.9460840150714,84.25934008027195,2.0,,
