global_step,wall_time_s,ep_return_mean,ep_return_std,policy_loss,value_loss,entropy,approx_kl,eval_return_mean,eval_return_std,mean_k,attn_entropy,lagrange_lambda
4000,1.8643860816955566,-55.8549023270607,17.781273312546368,-0.003231379432370751,63.777289962768556,3.9072949647903443,0.0002532844043744209,,,,2.7631020735330303e-11,
8000,3.1854894161224365,-53.77078500390053,19.11884442605925,-0.01544768937490879,58.1950122833252,3.893873453140259,0.002096124118608689,,,,2.7631020735330303e-11,
12000,4.4465155601501465,-51.43252032995224,15.83309190954396,-0.002429964747978364,48.95359115600586,3.8443190336227415,0.00237889584549702,,,,2.7631020735330303e-11,
16000,5.739667892456055,-49.443509340286255,17.186084906826856,-0.016813455923460462,51.22956886291504,3.7900562047958375,0.00465776996279601,,,,2.7631020735330303e-11,
20000,7.0561277866363525,-46.050770968198776,14.807673477562698,-0.0033564827410154765,41.32861518859863,3.7259087324142457,4.023313238121773e-10,,,,2.7631020735330303e-11,
24000,8.360044717788696,-44.09165480732918,12.576866472266065,-0.003151998109317056,35.98848419189453,3.6779592275619506,1.3411044497146918e-10,,,,2.7631020735330303e-11,
28000,9.659588813781738,-46.50494885444641,15.166188824871615,-0.016759151993785037,42.778985595703126,3.6434500217437744,0.004493238276627398,,,,2.7631020735330303e-11,
32000,10.986404180526733,-47.29185149073601,15.291631194408987,-0.007720606099581318,41.2459156036377,3.669476771354675,0.0026491367956623436,,,,2.7631020735330303e-11,
36000,12.206624031066895,-47.295356422662735,14.705815352754195,-0.004383722376776866,46.73101043701172,3.5848658323287963,0.00018612845065941742,,,,2.7631020735330303e-11,
40000,13.49392819404602,-49.9920648932457,14.515609658271268,-0.010792828857316628,46.80395088195801,3.5040828704833986,0.005959155157324858,,,,2.7631020735330303e-11,
44000,16.269935131072998,-43.16623905301094,15.112287309881943,-0.010020732780452813,35.86946792602539,3.5208823680877686,0.003305351224844344,-45.57265458907932,15.539160762285393,,2.7631020735330303e-11,
48000,17.549912214279175,-46.047552198171616,15.3970831504822,-0.012793144749011809,44.47387199401855,3.536367416381836,0.0032086083287140355,-45.57265458907932,15.539160762285393,,2.7631020735330303e-11,
52000,18.757739782333374,-43.09571373462677,11.473490203387914,-0.005851721132406973,32.025093460083006,3.535373306274414,0.002789618639508262,-45.57265458907932,15.539160762285393,,2.7631020735330303e-11,
56000,19.94864296913147,-43.48281045258045,13.691984049272207,-0.013023880827240663,35.54336395263672,3.571793532371521,0.0035514735820470376,-45.57265458907932,15.539160762285393,,2.7631020735330303e-11,
60000,21.295631647109985,-41.87046205997467,15.242978865290135,-0.010348195364931544,39.88860511779785,3.5375070571899414,0.00384802037733607,-45.57265458907932,15.539160762285393,,2.7631020735330303e-11,
64000,22.487114906311035,-40.91232092678547,14.211149485511264,-0.013973102867137755,27.941535186767577,3.45477237701416,0.002748116975999437,-45.57265458907932,15.539160762285393,,2.7631020735330303e-11,
68000,23.84757661819458,-43.30264392495155,13.41479673362956,-0.006083029175759247,26.225997734069825,3.411137270927429,0.0004908913771359935,-45.57265458907932,15.539160762285393,,2.7631020735330303e-11,
72000,25.15687108039856,-42.884254574775696,13.343155652109633,-0.01000170833640741,27.125746726989746,3.354242753982544,0.0006875521618057934,-45.57265458907932,15.539160762285393,,2.7631020735330303e-11,
76000,26.478891611099243,-41.9186327457428,13.581077024427103,-0.012075631602201575,28.321402549743652,3.360633683204651,0.0040380876398412365,-45.57265458907932,15.539160762285393,,2.7631020735330303e-11,
80000,27.710407972335815,-41.59062869846821,13.138745591058647,-0.0022828736379451263,30.67676410675049,3.3813122272491456,0.002223086790181661,-45.57265458907932,15.539160762285393,,2.7631020735330303e-11,
84000,30.359211921691895,-39.55931502580643,11.49417926790353,-0.009388291072566047,26.42402744293213,3.425620603561401,0.0013689434909792907,-41.80434846598655,11.71596473186247,,2.7631020735330303e-11,
88000,31.48948383331299,-39.3283948302269,12.529651136671031,-0.004472319929394874,24.70628414154053,3.4554948091506956,0.0005209186524152698,-41.80434846598655,11.71596473186247,,2.7631020735330303e-11,
92000,32.620542764663696,-42.16744810342789,12.118743987067752,-0.004585078043397495,26.67180938720703,3.4096267461776733,1.2449846079110038e-05,-41.80434846598655,11.71596473186247,,2.7631020735330303e-11,
96000,33.93392324447632,-39.40988878905773,15.70564604134793,-0.012446584016550322,28.95373668670654,3.3883418798446656,0.003201046766480431,-41.80434846598655,11.71596473186247,,2.7631020735330303e-11,
100000,35.13630700111389,-42.60504341125488,12.417263770784597,-0.009464088820153904,23.60344581604004,3.3512492179870605,0.0025918263315106715,-41.80434846598655,11.71596473186247,,2.7631020735330303e-11,
104000,36.30597925186157,-40.884162813425064,13.677704081659172,-0.00979645013250412,20.481567001342775,3.2724254846572878,0.0050226763007231055,-41.80434846598655,11.71596473186247,,2.7631020735330303e-11,
108000,37.40777897834778,-40.22484938800335,11.054734120095153,-0.00505123437510342,19.45157833099365,3.1871488809585573,0.004874493865761909,-41.80434846598655,11.71596473186247,,2.7631020735330303e-11,
112000,38.5105094909668,-42.50477188825607,14.732346954038073,-0.011279043632093843,26.859137725830077,3.2049916982650757,0.0011772654412670392,-41.80434846598655,11.71596473186247,,2.7631020735330303e-11,
116000,39.79216980934143,-38.50687861442566,12.448813434758286,-0.012330124899744988,18.373078918457033,3.145113945007324,0.0008795661670592203,-41.80434846598655,11.71596473186247,,2.7631020735330303e-11,
120000,41.05495738983154,-42.33745303750038,15.871718268108864,-0.012824304638896134,22.16655864715576,3.2222777366638184,0.004831492685480043,-41.80434846598655,11.71596473186247,,2.7631020735330303e-11,
124000,43.689029693603516,-40.45094108581543,13.156547958669043,-0.007551483781542645,17.759108543395996,3.2596063137054445,0.003020095024839975,-38.75995364575647,12.34048024405884,,2.7631020735330303e-11,
128000,44.780985832214355,-39.2954393774271,12.277606966843841,-0.009874339370755436,16.470073699951172,3.2731422185897827,0.0022646479639224725,-38.75995364575647,12.34048024405884,,2.7631020735330303e-11,
132000,45.974483013153076,-36.56088848412037,11.637687698605406,-0.008475383385550228,12.92932415008545,3.275354337692261,0.003023729727370661,-38.75995364575647,12.34048024405884,,2.7631020735330303e-11,
136000,47.25868344306946,-39.5047402381897,10.35405184566668,-0.013632153254351586,11.766358661651612,3.224266695976257,0.0022416456369683145,-38.75995364575647,12.34048024405884,,2.7631020735330303e-11,
140000,48.55340790748596,-38.89738196134567,11.739655124066857,-0.013530776800122091,12.69522066116333,3.235728931427002,0.0010486497089004843,-38.75995364575647,12.34048024405884,,2.7631020735330303e-11,
144000,49.801273584365845,-39.0348624587059,11.625743439763935,-0.004886254330049233,14.978456783294678,3.109519290924072,0.0011678676906740292,-38.75995364575647,12.34048024405884,,2.7631020735330303e-11,
148000,51.01031947135925,-37.436366602778435,11.182914593309876,-0.005604854892706434,13.426565456390382,3.232604742050171,0.001285598089452833,-38.75995364575647,12.34048024405884,,2.7631020735330303e-11,
152000,52.2983512878418,-34.317597806453705,10.628947401536985,-0.011111523596104256,7.822779750823974,3.222916913032532,0.004095673544448797,-38.75995364575647,12.34048024405884,,2.7631020735330303e-11,
