global_step,wall_time_s,ep_return_mean,ep_return_std,policy_loss,value_loss,entropy,approx_kl,eval_return_mean,eval_return_std
4000,6.686063528060913,-72.15012070536613,19.269388480564817,-0.0011790416698204353,74.41649322509765,1.5907885551452636,1.137241724791238e-06,,
8000,16.400798082351685,-70.62942922115326,22.297856100271744,-0.0014168909736326895,67.19648323059081,1.5707646131515502,0.001052435813471675,,
12000,22.395546913146973,-69.2498608827591,15.29804748880587,-0.00045090727871865965,38.86733512878418,1.5306535243988038,0.00019518324552336708,,
16000,29.91339945793152,-65.12974691390991,18.271081541133288,-0.0018486786153516731,30.518896865844727,1.5036478281021117,0.0020275039249099793,,
20000,37.93416452407837,-68.89639353752136,17.17014110650927,-0.001282692062522983,34.999110794067384,1.4606122016906737,0.0015842585591599346,,
24000,48.34572649002075,-70.2758264541626,16.425015319078796,-0.002609349937119987,40.79734420776367,1.4313305139541626,0.0019201620307285339,,
28000,56.65457534790039,-65.725133061409,13.888554743367271,-0.0046933806806919165,30.311654472351073,1.4229007005691527,0.0036571152159012854,,
32000,63.244349241256714,-68.77262204885483,18.042677061925804,-0.002406699233688414,34.496677780151366,1.3363891243934631,0.0031908110599033535,,
36000,67.5560793876648,-68.441271007061,16.780063813486827,-0.002368651092183427,32.516697311401366,1.3979039192199707,0.003620450507150963,,
40000,75.60263514518738,-69.80149447917938,13.422489810270655,-0.005990806582849473,29.848608589172365,1.3971063613891601,0.004404536257789004,,
44000,91.69536447525024,-69.56303489208221,17.43104614762133,-0.001219962612958625,31.451671028137206,1.3837283253669739,0.007223241380415857,-65.49017421528697,15.796429002032232
48000,99.13417959213257,-69.2942641377449,19.643882934816425,-0.0026677221932914106,30.809633827209474,1.415886604785919,0.00012207213731016964,-65.49017421528697,15.796429002032232
52000,106.25839900970459,-71.5462783575058,20.14705150233709,-0.002344060501854983,30.093996620178224,1.4049696564674377,0.0036205467535182835,-65.49017421528697,15.796429002032232
56000,115.28925585746765,-73.73006695508957,19.219648641174786,-0.0038742355129215865,32.971381950378415,1.332452082633972,0.002815698244376108,-65.49017421528697,15.796429002032232
60000,122.91007709503174,-75.06335812807083,24.369600312811396,-0.0017776959568436724,24.700915336608887,1.3459760069847106,0.002938876563712256,-65.49017421528697,15.796429002032232
64000,128.2569990158081,-75.23526030778885,20.8581429627755,-0.003888298140373081,30.86314697265625,1.4209380388259887,0.0036229135119356217,-65.49017421528697,15.796429002032232
68000,134.42798519134521,-69.69028127193451,15.34460547118515,-0.002119852035684744,31.9319709777832,1.4365586519241333,0.002482552744913846,-65.49017421528697,15.796429002032232
72000,138.68476915359497,-70.5328885614872,14.464934091898277,-0.005727066629333422,24.092269706726075,1.4136140465736389,0.005276245012646541,-65.49017421528697,15.796429002032232
76000,149.98656392097473,-77.12465769052505,16.025107273785572,-0.0030931148532545192,26.025810050964356,1.3760032534599305,0.00280896540498361,-65.49017421528697,15.796429002032232
80000,160.82601237297058,-65.7212302684784,15.410021797127245,-0.0009029038483276963,18.189832592010497,1.3602590084075927,0.0028099782997742296,-65.49017421528697,15.796429002032232
84000,178.6741020679474,-69.53240120410919,16.922974804489986,-0.00239125229199999,24.69750347137451,1.3607809662818908,0.0038095325464382766,-69.91958786733449,11.44589419977334
88000,186.24246788024902,-67.09281951189041,14.580667885292803,-0.0036663390307694497,18.425998306274415,1.333835279941559,0.00449079463724047,-69.91958786733449,11.44589419977334
92000,192.23074555397034,-66.83019262552261,14.462541977998908,-0.0012775551178492606,26.090339851379394,1.316639745235443,0.005907676869537681,-69.91958786733449,11.44589419977334
96000,199.8023283481598,-70.10970985889435,14.996201170805502,-0.006782633368857205,20.500663375854494,1.2625357151031493,0.006954252062132582,-69.91958786733449,11.44589419977334
100000,206.04977893829346,-72.68901830911636,14.669560706600986,-0.002653844762244262,23.815522956848145,1.2746939182281494,0.0032882718835026024,-69.91958786733449,11.44589419977334
104000,211.3547158241272,-72.50221306085587,16.753660164927428,-0.0025356423400808127,21.95675926208496,1.2787478566169739,0.0019046113186050207,-69.91958786733449,11.44589419977334
108000,219.74048614501953,-70.53319895267487,15.094875647454879,-0.004959062943817117,14.912798404693604,1.2288504838943481,0.004707407765090465,-69.91958786733449,11.44589419977334
112000,228.10200428962708,-75.97191482782364,19.929511240244942,-0.0027244619428529403,28.706631660461426,1.1821295976638795,0.0025901057466398924,-69.91958786733449,11.44589419977334
116000,235.86298632621765,-76.65555161237717,15.226431448372962,-0.0036423890211153775,14.837227725982666,1.1961223840713502,0.003984903532546014,-69.91958786733449,11.44589419977334
120000,242.5310251712799,-75.08809030056,21.60345311980171,-0.0051579954917542635,24.898896789550783,1.069443953037262,0.005416680464986712,-69.91958786733449,11.44589419977334
124000,263.8338236808777,-67.03637039661407,15.966710881106552,-0.002615243592299521,13.426613140106202,1.0524527192115785,0.002845838386565447,-74.14354931563139,13.589931724320568
128000,271.9336142539978,-72.17130011320114,13.404450261020514,-0.003272769431350753,13.904561710357665,0.9462189614772797,0.005477519007399678,-74.14354931563139,13.589931724320568
132000,279.67140436172485,-72.86405110359192,18.09091343167676,-0.0059007625095546246,19.459966468811036,1.0565600037574767,0.007087210059398785,-74.14354931563139,13.589931724320568
136000,288.1156892776489,-67.36116898059845,14.748957789145434,-0.0033146550849778578,16.955333709716797,1.0391718745231628,0.0022786025001551025,-74.14354931563139,13.589931724320568
140000,295.8154044151306,-68.94954204559326,15.305031183581665,-0.0010247345999232493,24.68362979888916,1.0490864872932435,0.003236488252878189,-74.14354931563139,13.589931724320568
144000,303.9252483844757,-71.57301378250122,16.906268777566734,-0.004669211636064574,16.243102931976317,1.0466598868370056,0.004123616043943912,-74.14354931563139,13.589931724320568
148000,309.51825499534607,-68.13541835546494,15.043465597708993,-0.006994686699181329,15.245415115356446,0.980739438533783,0.001351166854146868,-74.14354931563139,13.589931724320568
152000,317.64840817451477,-65.41605299711227,13.8629005089332,-0.0034365296451142058,19.204601860046388,1.016695499420166,0.00519413584843278,-74.14354931563139,13.589931724320568
156000,326.0201139450073,-69.56567484140396,13.943705556753233,-0.0032640051809721625,20.46185474395752,1.0016488254070282,0.002703633535566041,-74.14354931563139,13.589931724320568
160000,333.24909019470215,-71.09068703651428,15.4511099384908,-0.004009607471198251,16.60943078994751,0.9146040439605713,0.003924262640066445,-74.14354931563139,13.589931724320568
164000,354.5791780948639,-66.34704637527466,13.871772732440716,-0.003184224557480775,16.188754177093507,0.9229864656925202,0.00509802105370909,-66.54824293404818,13.358685223709237
168000,364.7295379638672,-69.03961569070816,16.40279111820366,-0.005110169699764811,16.65076961517334,0.8583237648010253,0.004610862280242145,-66.54824293404818,13.358685223709237
172000,371.3628206253052,-65.90486228466034,12.909781164311232,-0.005452039295414579,13.828433322906495,0.915098249912262,0.005172660871176049,-66.54824293404818,13.358685223709237
176000,378.2474944591522,-67.15300738811493,13.571505986858574,-0.0030234605830628423,14.11544485092163,0.9412721395492554,0.0022439002757892014,-66.54824293404818,13.358685223709237
180000,385.4860186576843,-65.85639411211014,14.616188006997755,-0.005677597830072045,16.277672290802002,0.94082670211792,0.004952582734404132,-66.54824293404818,13.358685223709237
184000,392.4261019229889,-64.45950502157211,13.098023278087066,-0.002723674938897602,19.473690605163576,0.9922461569309234,0.003584812791086733,-66.54824293404818,13.358685223709237
188000,398.46117401123047,-65.92813378572464,15.05363447539413,-0.006730059417895973,13.052425193786622,0.8639430999755859,0.006948842408019118,-66.54824293404818,13.358685223709237
192000,403.8022418022156,-66.76028126478195,13.679379289596595,-0.005605222197482362,16.410453891754152,0.84263014793396,0.004095285868970677,-66.54824293404818,13.358685223709237
196000,409.1604769229889,-63.79267483949661,15.831012875624676,-0.003989082429325208,13.160334587097168,0.9094613492488861,0.0035880842537153513,-66.54824293404818,13.358685223709237
200000,417.31039905548096,-65.1501002907753,14.374739908951456,-0.005795552578638308,12.307005405426025,0.8611121952533722,0.0032399698800873013,-66.54824293404818,13.358685223709237
204000,435.66149520874023,-65.86780160665512,15.893427916527635,-0.005223457838292233,11.654738998413086,0.8784554779529572,0.004505311429966241,-64.1323903594166,14.038140146912745
208000,442.3847370147705,-64.39109766483307,15.61574351852843,-0.003097145992796868,16.767679119110106,0.8881461203098298,0.0016354399151168764,-64.1323903594166,14.038140146912745
212000,449.7252435684204,-67.53914105892181,14.258327694813207,-0.0035958963606390172,14.152350330352784,0.8112408518791199,0.004010527319042012,-64.1323903594166,14.038140146912745
216000,457.0450940132141,-64.4912423491478,12.602521553133592,-0.004936100053600967,10.868432140350341,0.8614239037036896,0.008124857128132134,-64.1323903594166,14.038140146912745
220000,463.8067307472229,-61.3995698094368,12.850766093037654,-0.006625305826310069,13.289955806732177,0.8882376432418824,0.009069929295219482,-64.1323903594166,14.038140146912745
224000,469.3975648880005,-63.06219291687012,12.301315358034774,-0.003106394270434976,16.42630090713501,0.8274124801158905,0.006407257789396681,-64.1323903594166,14.038140146912745
228000,477.21307706832886,-64.70202618837357,11.97700919100582,-0.006091310516058002,9.716074466705322,0.8761936247348785,0.004057344135071616,-64.1323903594166,14.038140146912745
232000,482.95111632347107,-65.69427412748337,12.245188957383547,-0.005322914486168884,13.77848253250122,0.8061889588832856,0.005026810402341653,-64.1323903594166,14.038140146912745
236000,490.33286571502686,-64.23257547616959,13.731554516795724,-0.005175716606026981,16.9461332321167,0.8702368140220642,0.0038798437570221724,-64.1323903594166,14.038140146912745
240000,497.6146459579468,-67.6480148434639,17.168402708116073,-0.006697388795146253,16.093643760681154,0.8201702654361724,0.007332000811584294,-64.1323903594166,14.038140146912745
244000,513.5833678245544,-65.09212094545364,15.554137125265393,-0.005097776802722364,15.406906795501708,0.8137161612510682,0.007973003695951775,-61.38618468306959,13.38821069194504
248000,520.6270792484283,-63.02424716949463,14.050335411496706,-0.006277695848257281,8.118207788467407,0.7665530562400817,0.006511042884085327,-61.38618468306959,13.38821069194504
252000,527.1374115943909,-64.30364203453064,14.694635590540397,-0.003928183403331786,11.924872207641602,0.7420754373073578,0.0013968952145660297,-61.38618468306959,13.38821069194504
